id,ra,dec
0000064,    14.692172,    41.321443
0000065,    14.297634,    42.222755
0000066,    13.946454,    40.758601
0000067,    13.647174,    41.350047
0000068,    13.539396,    40.508299
0000069,    14.233947,    42.187915
0000070,    14.658549,    41.987764
0000071,    13.277271,    42.062084
0000072,    14.289649,    41.831249
0000073,    13.840998,    40.615820
0000074,    14.603818,    41.912198
0000075,    14.413973,    42.048993
0000076,    13.982338,    41.587538
0000077,    14.650927,    41.438345
0000078,    13.219585,    41.564153
0000079,    13.864700,    42.249866
0000080,    13.917335,    40.579265
0000081,    14.951306,    41.418552
0000082,    15.184853,    41.633279
0000083,    15.211295,    41.569134
0000084,    14.440389,    40.668819
0000085,    14.988144,    42.230940
0000086,    13.338030,    42.211850
0000087,    14.143548,    42.265354
0000088,    14.978828,    41.156410
0000089,    13.499934,    42.100983
0000090,    14.054702,    41.274953
0000091,    13.734567,    40.801282
0000092,    13.302503,    41.566529
0000093,    14.760081,    40.615263
0000094,    14.550894,    41.027076
0000095,    14.611652,    40.365127
0000096,    13.238278,    41.889648
0000097,    13.221218,    40.660078
0000098,    13.920594,    41.329270
0000099,    13.806340,    40.811799
0000100,    13.554465,    42.002555
0000101,    14.196488,    41.678444
0000102,    13.683906,    41.941897
0000103,    14.034717,    41.739859
0000104,    13.761539,    40.921802
0000105,    13.631143,    41.752005
0000106,    13.229554,    40.560912
0000107,    14.272699,    40.856989
0000108,    13.593358,    40.969761
0000109,    14.027425,    40.664594
0000110,    15.119449,    41.813937
0000111,    13.971689,    41.370764
0000112,    13.760020,    40.886532
0000113,    14.584342,    41.451996
0000114,    15.069815,    41.007088
0000115,    15.048201,    40.569081
0000116,    14.422434,    41.111514
0000117,    13.599292,    41.852237
0000118,    13.439737,    42.255318
0000119,    14.185594,    41.097244
0000120,    14.017569,    40.742620
0000121,    14.280748,    41.859090
0000122,    13.916377,    40.532067
0000123,    14.634003,    41.128341
0000124,    14.861444,    42.257539
0000125,    15.208421,    41.628229
0000126,    13.403365,    40.323802
0000127,    14.193361,    41.541844
0000128,    13.877786,    40.838650
0000129,    14.619901,    41.766473
0000130,    14.741726,    41.232826
0000131,    13.235389,    40.716417
0000132,    14.192805,    41.701333
0000133,    14.908823,    41.627156
0000134,    14.720282,    41.282341
0000135,    13.396809,    42.122577
0000136,    14.593714,    41.691689
0000137,    13.616908,    40.904385
0000138,    14.369221,    41.289127
0000139,    14.854546,    40.529180
0000140,    14.454764,    41.077134
0000141,    14.444910,    41.029746
0000142,    13.675708,    41.180852
0000143,    13.700736,    40.653604
0000144,    14.848327,    42.254508
0000145,    13.430481,    41.025116
0000146,    13.977311,    40.428224
0000147,    14.116297,    41.812604
0000148,    14.422063,    40.429079
0000149,    13.969333,    40.851461
0000150,    13.677763,    40.909981
0000151,    13.542763,    40.571091
0000152,    14.097935,    41.973067
0000153,    14.913785,    42.147020
0000154,    14.898320,    41.842718
0000155,    14.773500,    41.288885
0000156,    14.136720,    41.396299
0000157,    13.837980,    41.503215
0000158,    13.757843,    41.938401
0000159,    13.575518,    41.135440
0000160,    13.460777,    42.128506
0000161,    13.407169,    41.459743
0000162,    14.699192,    41.707185
0000163,    13.617810,    41.246137
0000164,    14.224477,    41.617121
0000165,    14.645888,    40.601834
0000166,    14.809831,    40.320732
0000167,    14.167903,    40.966808
0000168,    14.873939,    41.262075
0000169,    13.546688,    40.509535
0000170,    14.596942,    40.806193
0000171,    14.610008,    41.798748
0000172,    14.510688,    41.012784
0000173,    13.245392,    41.806881
0000174,    15.203750,    42.063072
0000175,    13.683902,    42.046131
0000176,    15.160709,    40.631662
0000177,    13.996302,    41.069962
0000178,    14.496074,    40.858303
0000179,    13.674163,    40.848517
0000180,    13.307606,    40.639742
0000181,    13.706595,    41.873322
0000182,    13.639280,    41.550514
0000183,    15.149590,    41.337045
0000184,    14.529504,    41.954750
0000185,    14.082324,    41.582101
0000186,    13.880002,    41.668953
0000187,    13.399134,    40.667507
0000188,    13.532322,    41.013348
0000189,    13.354348,    40.698183
0000190,    13.897210,    40.293428
0000191,    14.742588,    41.024400
0000192,    14.089523,    41.714074
0000193,    15.170791,    40.829704
0000194,    14.778099,    40.727432
0000195,    14.149632,    42.096439
0000196,    14.913047,    40.923627
0000197,    14.025394,    41.721349
0000198,    14.792406,    41.281415
0000199,    13.367446,    40.584697
0000200,    15.163603,    40.422193
0000201,    14.681435,    41.384940
0000202,    14.034901,    41.704851
0000203,    13.727203,    41.974410
0000204,    13.645186,    40.883182
0000205,    13.709340,    41.548331
0000206,    13.551534,    40.479274
0000207,    14.045164,    41.547591
0000208,    14.783123,    41.070228
0000209,    13.788826,    41.365819
0000210,    13.797283,    41.140646
0000211,    14.940772,    40.306820
0000212,    14.801302,    40.319938
0000213,    14.877491,    40.894087
0000214,    15.030863,    41.542364
0000215,    14.527073,    40.687909
0000216,    14.962353,    42.119217
0000217,    13.657775,    40.731524
0000218,    13.827265,    40.918172
0000219,    14.642742,    40.763262
0000220,    14.999571,    42.193710
0000221,    14.374292,    41.371609
0000222,    13.631608,    42.207884
0000223,    14.956105,    41.125118
0000224,    13.500706,    40.350505
0000225,    13.451192,    41.855603
0000226,    14.238720,    40.942114
0000227,    15.064612,    40.442521
0000228,    14.124248,    40.985900
0000229,    14.424581,    41.663040
0000230,    14.727041,    42.222203
0000231,    13.567160,    41.846358
0000232,    15.036023,    41.612893
0000233,    13.493401,    41.071893
0000234,    13.507863,    41.339896
0000235,    14.918179,    40.739212
0000236,    14.593988,    40.786350
0000237,    13.997864,    40.277466
0000238,    14.150189,    40.361996
0000239,    13.556813,    41.876697
0000240,    14.323458,    41.413712
0000241,    14.572917,    40.946782
0000242,    14.809954,    41.825867
0000243,    13.680747,    40.661107
0000244,    13.334433,    40.296657
0000245,    14.666848,    41.411619
0000246,    13.624699,    40.796073
0000247,    14.460769,    41.224031
0000248,    13.465531,    41.067947
0000249,    14.596793,    42.212519
0000250,    13.473975,    42.067987
0000251,    14.950981,    40.353638
0000252,    14.855416,    41.207708
0000253,    14.858634,    41.683575
0000254,    14.391936,    42.257262
0000255,    14.033518,    41.674835
0000256,    13.681053,    41.726859
0000257,    13.320233,    40.652449
0000258,    14.565388,    41.922219
0000259,    14.522594,    41.603826
0000260,    14.976552,    40.563907
0000261,    14.849153,    40.595706
0000262,    14.877598,    40.480452
0000263,    13.287868,    42.263925
0000264,    15.171264,    41.458176
0000265,    15.144353,    41.542055
0000266,    13.924746,    41.799083
0000267,    14.194447,    40.698726
0000268,    15.135801,    41.020250
0000269,    13.310939,    41.977468
0000270,    14.468052,    42.210920
0000271,    14.985780,    41.225248
0000272,    14.084008,    42.119959
0000273,    14.794193,    41.206180
0000274,    13.967198,    41.143684
0000275,    13.533142,    40.445241
0000276,    14.278210,    40.396559
0000277,    14.127599,    41.765821
0000278,    13.839941,    41.252302
0000279,    13.304190,    41.219920
0000280,    14.861516,    40.736284
0000281,    13.682015,    41.520310
0000282,    13.604727,    41.342520
0000283,    14.951616,    41.891390
0000284,    14.321614,    41.606685
0000285,    13.621206,    40.624404
0000286,    13.218716,    41.283413
0000287,    14.271818,    42.081102
0000288,    13.323849,    40.413362
0000289,    13.759861,    40.914601
0000290,    14.346234,    41.428987
0000291,    14.614485,    41.663803
0000292,    15.176415,    40.387297
0000293,    14.700293,    40.802489
0000294,    14.201321,    40.469125
0000295,    13.622788,    41.118729
0000296,    13.823116,    40.698565
0000297,    14.160567,    41.482003
0000298,    14.943552,    41.684300
0000299,    14.845642,    40.700062
0000300,    14.890045,    41.724437
0000301,    14.711262,    40.287291
0000302,    15.123577,    40.553008
0000303,    14.885677,    41.645005
0000304,    14.761421,    40.525161
0000305,    13.700410,    40.525626
0000306,    13.755892,    40.634768
0000307,    13.943218,    41.781502
0000308,    14.726232,    41.777758
0000309,    13.310104,    40.548740
0000310,    15.115204,    41.558745
0000311,    13.289749,    41.888777
0000312,    14.325550,    41.778511
0000313,    14.613651,    40.631571
0000314,    14.856480,    41.444518
0000315,    15.174369,    40.596517
0000316,    14.119744,    41.178435
0000317,    14.148836,    40.299551
0000318,    13.521372,    41.064493
0000319,    14.694869,    40.835663
0000320,    14.565503,    42.222262
0000321,    14.065036,    40.414076
0000322,    14.039138,    42.113432
0000323,    15.213170,    41.876786
0000324,    15.089027,    40.546809
0000325,    13.412707,    40.615524
0000326,    14.032324,    40.871150
0000327,    14.282002,    40.357277
0000328,    14.101865,    41.191034
0000329,    14.897101,    41.908460
0000330,    13.677061,    41.874389
0000331,    15.127780,    41.844492
0000332,    14.200232,    42.190831
0000333,    14.438277,    41.180255
0000334,    13.988413,    41.148330
0000335,    14.967268,    42.256598
0000336,    13.903288,    42.078632
0000337,    13.265293,    42.170119
0000338,    14.708396,    41.069078
0000339,    13.760277,    42.001913
0000340,    15.013327,    41.774290
0000341,    14.644625,    41.904342
0000342,    13.333189,    41.212056
0000343,    13.857077,    42.202535
0000344,    13.487257,    40.467848
0000345,    13.297720,    40.323390
0000346,    14.702997,    42.188937
0000347,    14.348162,    41.170846
0000348,    14.238038,    40.921185
0000349,    15.084704,    40.465335
0000350,    14.530793,    41.399227
0000351,    14.196714,    40.404770
0000352,    14.727306,    41.035685
0000353,    13.977802,    41.838399
0000354,    14.909226,    41.794534
0000355,    15.130839,    41.160913
0000356,    13.323134,    40.520823
0000357,    13.368900,    40.456204
0000358,    14.560924,    40.873027
0000359,    14.672170,    40.295952
0000360,    14.207557,    41.951219
0000361,    14.189203,    40.310512
0000362,    13.352194,    41.857665
0000363,    14.551268,    41.280674
0000364,    14.381802,    41.055841
0000365,    13.930712,    42.155322
0000366,    14.275408,    40.712649
0000367,    13.324970,    41.270205
0000368,    15.138052,    40.527812
0000369,    14.194342,    41.454438
0000370,    13.776374,    40.831339
0000371,    13.272886,    40.284329
0000372,    14.147316,    40.578188
0000373,    14.743641,    42.204027
0000374,    14.164271,    40.538311
0000375,    14.052575,    41.529855
0000376,    14.997569,    41.895010
0000377,    14.197286,    42.139003
0000378,    13.777919,    40.763421
0000379,    14.652341,    41.320200
0000380,    13.932257,    40.395536
0000381,    13.450479,    40.469383
0000382,    14.429136,    41.852105
0000383,    14.739006,    42.017455
0000384,    14.897707,    40.400788
0000385,    13.330199,    41.656099
0000386,    14.314157,    41.299805
0000387,    14.680178,    40.699974
0000388,    13.878123,    41.513956
0000389,    14.926163,    40.985280
0000390,    14.999496,    41.769502
0000391,    14.101052,    41.123333
0000392,    13.520078,    41.817087
0000393,    14.057892,    40.283266
0000394,    13.957230,    40.888589
0000395,    14.421793,    41.373113
0000396,    14.317824,    41.523034
0000397,    13.565580,    40.383386
0000398,    13.844298,    40.664009
0000399,    15.016067,    41.014388
0000400,    14.895377,    41.901465
0000401,    14.491574,    41.921593
0000402,    14.766815,    42.206752
0000403,    14.744274,    41.331856
0000404,    13.364095,    41.650990
0000405,    13.400843,    41.406196
0000406,    13.848871,    40.360132
0000407,    14.486032,    41.773179
0000408,    13.960333,    41.125535
0000409,    14.043688,    42.136571
0000410,    14.708712,    42.026153
0000411,    14.324532,    40.454672
0000412,    14.626940,    41.708632
0000413,    14.795940,    41.944322
0000414,    14.380272,    41.416308
0000415,    15.008601,    41.589691
0000416,    15.188564,    41.465614
0000417,    13.367879,    41.564136
0000418,    13.391783,    41.933373
0000419,    13.628121,    41.141715
0000420,    15.021654,    41.828957
0000421,    13.232360,    42.111136
0000422,    15.027542,    41.866975
0000423,    13.348661,    41.759190
0000424,    14.603774,    41.920840
0000425,    14.531309,    42.241216
0000426,    14.605974,    41.686337
0000427,    13.269481,    41.745706
0000428,    13.281423,    40.834994
0000429,    14.306306,    42.070047
0000430,    14.231550,    42.220153
0000431,    14.304449,    41.677238
0000432,    13.844092,    41.903983
0000433,    15.027575,    40.981151
0000434,    14.261012,    41.366588
0000435,    13.670009,    40.320604
0000436,    13.417043,    41.115266
0000437,    14.292465,    40.503483
0000438,    15.072811,    42.183545
0000439,    13.288973,    41.769324
0000440,    14.935517,    42.108592
0000441,    15.153514,    41.146079
0000442,    13.988176,    42.128347
0000443,    14.225573,    40.492804
0000444,    15.032290,    41.656876
0000445,    15.023334,    40.530727
0000446,    14.470225,    40.343685
0000447,    14.809906,    40.638087
0000448,    13.460804,    41.900178
0000449,    14.682298,    40.902793
0000450,    13.798702,    41.216113
0000451,    14.071763,    41.579085
0000452,    13.467966,    42.159565
0000453,    13.679259,    40.451320
0000454,    14.063177,    40.683274
0000455,    15.004040,    42.213217
0000456,    13.695079,    41.906324
0000457,    14.201414,    41.634587
0000458,    14.140745,    40.397132
0000459,    14.403333,    41.943818
0000460,    14.111513,    41.686455
0000461,    13.427033,    40.844497
0000462,    13.969140,    40.782910
0000463,    14.370280,    41.977414
0000464,    14.370810,    42.062207
0000465,    14.098450,    40.836293
0000466,    14.771678,    41.063758
0000467,    15.031813,    42.152157
0000468,    13.250164,    40.499200
0000469,    14.591474,    41.550161
0000470,    14.658007,    40.670497
0000471,    14.121977,    41.529316
0000472,    13.924367,    41.350963
0000473,    14.065842,    41.625861
0000474,    13.555652,    41.784821
0000475,    14.619617,    40.426552
0000476,    14.124201,    41.293145
0000477,    14.621906,    41.011238
0000478,    13.967355,    40.314412
0000479,    13.265536,    41.124357
0000480,    14.161502,    40.772344
0000481,    13.917421,    40.599939
0000482,    13.569161,    40.493745
0000483,    14.326062,    41.445474
0000484,    14.096101,    41.252866
0000485,    14.082836,    40.353452
0000486,    13.440299,    40.752207
0000487,    15.079781,    40.471527
0000488,    14.540148,    40.954881
0000489,    14.108453,    42.077079
0000490,    15.086920,    42.167880
0000491,    14.156613,    41.463844
0000492,    15.045388,    41.039465
0000493,    14.440690,    42.232023
0000494,    14.896909,    40.480107
0000495,    13.375103,    40.771658
0000496,    14.026421,    41.141658
0000497,    14.853374,    41.953542
0000498,    14.668334,    41.907893
0000499,    14.251186,    41.875494
0000500,    13.860299,    40.347262
0000501,    15.038749,    40.658472
0000502,    15.014678,    40.754188
0000503,    15.149249,    42.179674
0000504,    15.138161,    40.660089
0000505,    14.098476,    41.302018
0000506,    14.126311,    42.211624
0000507,    14.124581,    40.359725
0000508,    14.036793,    41.224034
0000509,    13.300311,    41.073942
0000510,    15.162060,    42.250558
0000511,    14.095264,    40.666781
0000512,    14.805764,    40.850951
0000513,    14.247601,    42.149619
0000514,    14.280172,    40.569592
0000515,    13.967780,    40.490497
0000516,    14.674704,    41.140892
0000517,    14.893220,    40.439000
0000518,    14.067467,    40.408842
0000519,    14.529918,    40.493262
0000520,    14.708307,    41.796633
0000521,    14.282605,    42.066491
0000522,    13.625564,    41.148813
0000523,    13.625321,    40.575754
0000524,    14.410553,    40.618726
0000525,    13.957623,    41.562995
0000526,    14.839053,    41.894034
0000527,    14.496321,    41.093725
0000528,    14.450491,    41.194506
0000529,    14.711357,    41.358121
0000530,    15.038717,    41.205446
0000531,    14.657275,    40.422781
0000532,    14.564159,    41.280818
0000533,    14.846964,    41.858692
0000534,    13.445993,    40.893836
0000535,    13.233356,    42.262280
0000536,    13.852136,    41.245645
0000537,    13.634655,    41.874890
0000538,    13.800081,    40.636260
0000539,    13.720952,    41.470964
0000540,    13.903434,    40.735943
0000541,    14.550747,    41.692492
0000542,    14.271137,    41.584238
0000543,    14.560930,    41.951915
0000544,    13.686456,    41.078946
0000545,    13.661509,    42.154407
0000546,    14.215398,    42.144725
0000547,    13.317533,    42.267931
0000548,    13.939822,    41.791789
0000549,    14.811299,    42.265971
0000550,    13.470009,    40.475421
0000551,    15.093414,    40.299692
0000552,    14.704515,    40.716085
0000553,    13.686615,    41.564851
0000554,    14.893419,    40.797272
0000555,    14.146465,    41.135234
0000556,    13.661245,    41.989143
0000557,    14.487537,    41.082380
0000558,    14.804930,    40.883314
0000559,    14.587087,    41.448215
0000560,    13.637319,    41.339865
0000561,    15.096014,    42.043956
0000562,    15.027916,    40.636647
0000563,    13.453011,    41.054924
0000564,    13.231763,    41.982555
0000565,    14.297481,    41.301914
0000566,    15.169207,    40.714581
0000567,    14.469461,    42.214085
0000568,    14.792742,    41.811013
0000569,    14.468059,    40.812419
0000570,    14.132470,    41.024799
0000571,    13.913387,    40.707418
0000572,    14.096903,    41.367257
0000573,    14.552135,    40.775560
0000574,    14.757443,    41.711391
0000575,    13.369212,    41.204005
0000576,    14.903589,    41.768998
0000577,    14.807034,    42.013804
0000578,    14.523285,    40.520804
0000579,    13.556444,    41.511894
0000580,    14.039261,    41.019419
0000581,    13.289383,    41.140923
0000582,    15.210869,    41.505864
0000583,    14.097402,    41.497492
0000584,    14.000615,    41.851020
0000585,    15.210640,    40.498758
0000586,    13.712527,    41.060923
0000587,    13.665018,    41.901773
0000588,    14.066636,    40.485806
0000589,    14.277914,    41.289499
0000590,    13.678970,    40.443338
0000591,    15.091271,    41.606369
0000592,    15.087568,    41.970707
0000593,    13.857931,    41.827681
0000594,    14.433922,    40.741704
0000595,    13.689955,    41.680852
0000596,    14.132308,    40.452958
0000597,    14.675181,    41.155843
0000598,    15.144784,    42.095624
0000599,    14.322786,    41.055029
0000600,    14.370036,    41.517690
0000601,    14.431490,    41.844252
0000602,    14.677960,    41.811869
0000603,    15.208691,    40.915049
0000604,    14.211456,    40.524825
0000605,    13.306643,    42.260641
0000606,    14.282926,    41.555003
0000607,    14.086691,    41.233144
0000608,    14.520287,    41.732627
0000609,    14.713642,    40.655270
0000610,    13.535375,    40.951878
0000611,    14.635532,    41.483929
0000612,    14.738609,    42.164850
0000613,    14.405488,    41.568918
0000614,    13.451997,    41.685868
0000615,    14.374003,    42.164836
0000616,    14.625158,    40.813916
0000617,    15.029008,    40.748839
0000618,    15.018004,    41.411205
0000619,    14.967912,    41.749685
0000620,    15.161865,    41.777607
0000621,    13.558330,    41.933268
0000622,    13.441080,    40.640103
0000623,    14.712298,    41.357250
0000624,    13.903509,    42.169895
0000625,    14.438136,    40.868645
0000626,    14.003952,    41.324305
0000627,    14.699584,    41.839994
0000628,    13.997838,    41.587907
0000629,    14.725524,    42.227140
0000630,    14.103625,    41.988303
0000631,    15.100744,    41.878375
0000632,    14.759026,    41.740845
0000633,    13.300783,    41.558125
0000634,    14.806399,    41.410286
0000635,    13.940932,    40.348973
0000636,    14.301920,    41.840585
0000637,    15.183101,    41.020102
0000638,    13.419118,    41.192828
0000639,    14.488801,    41.106167
0000640,    14.272851,    41.722409
0000641,    14.549417,    41.248704
0000642,    15.113562,    42.253033
0000643,    15.032950,    40.347032
0000644,    14.682075,    41.875987
0000645,    15.014975,    41.663986
0000646,    13.704576,    41.324122
0000647,    14.453940,    41.799068
0000648,    13.405989,    41.655932
0000649,    14.243408,    41.454083
0000650,    13.651659,    41.639016
0000651,    14.919675,    41.189756
0000652,    15.138460,    41.277433
0000653,    14.579647,    41.731019
0000654,    13.333600,    41.854511
0000655,    13.552536,    40.345488
0000656,    13.624087,    41.149306
0000657,    14.053132,    41.662921
0000658,    13.812547,    40.654943
0000659,    14.762115,    42.179448
0000660,    14.173547,    40.465461
0000661,    13.966776,    40.305001
0000662,    14.900141,    42.205933
0000663,    14.576508,    40.793407
0000664,    14.391261,    41.228445
0000665,    15.133577,    41.968993
0000666,    13.787432,    40.340863
0000667,    14.686667,    41.055755
0000668,    14.078396,    40.471856
0000669,    15.115248,    40.481182
0000670,    14.019874,    40.595925
0000671,    14.028644,    41.864918
0000672,    13.710186,    41.208936
0000673,    13.961418,    41.257378
0000674,    13.274920,    41.937411
0000675,    15.162580,    41.391320
0000676,    14.936058,    40.847739
0000677,    14.241215,    41.234480
0000678,    13.769128,    41.043128
0000679,    14.572982,    40.379622
0000680,    14.705432,    40.874925
0000681,    15.201665,    42.149771
0000682,    14.093871,    41.465760
0000683,    13.505839,    41.439079
0000684,    13.960269,    40.655210
0000685,    15.150925,    41.617506
0000686,    13.961256,    41.823445
0000687,    14.961449,    40.671313
0000688,    14.697550,    41.124006
0000689,    13.908793,    41.361621
0000690,    14.731856,    41.470561
0000691,    13.295123,    42.099925
0000692,    14.813311,    42.177099
0000693,    13.407511,    41.013873
0000694,    13.985956,    41.990575
0000695,    13.273079,    42.043256
0000696,    13.494483,    41.480830
0000697,    13.494494,    41.448360
0000698,    14.003704,    41.881153
0000699,    13.292258,    40.822638
0000700,    13.854812,    40.477618
0000701,    15.126360,    41.938655
0000702,    14.652099,    41.311259
0000703,    14.246009,    41.645671
0000704,    14.375022,    40.639075
0000705,    13.488647,    42.013413
0000706,    14.789123,    40.989095
0000707,    14.172529,    41.532990
0000708,    13.507402,    42.066966
0000709,    15.126406,    41.293105
0000710,    14.723930,    41.983174
0000711,    13.923606,    41.682143
0000712,    13.321031,    41.180040
0000713,    14.389857,    40.952947
0000714,    14.286229,    40.662684
0000715,    14.140242,    41.144516
0000716,    14.007704,    41.479573
0000717,    14.346582,    40.314415
0000718,    14.967328,    40.676698
0000719,    14.180419,    41.242981
0000720,    14.459266,    40.487786
0000721,    14.610141,    41.499735
0000722,    14.237692,    41.505693
0000723,    14.268530,    41.208625
0000724,    14.796772,    41.348145
0000725,    14.117994,    40.545489
0000726,    13.697770,    42.187973
0000727,    14.128900,    40.788798
0000728,    14.216053,    40.364752
0000729,    13.578819,    40.972405
0000730,    14.792058,    41.875408
0000731,    14.105085,    41.271559
0000732,    14.124842,    40.656658
0000733,    14.185045,    40.589342
0000734,    14.242351,    42.160649
0000735,    14.504438,    41.060369
0000736,    13.739126,    41.176288
0000737,    15.074377,    40.554946
0000738,    15.037075,    40.924984
0000739,    15.181671,    40.781134
0000740,    14.099576,    40.379187
0000741,    15.111673,    41.186314
0000742,    13.563755,    41.238831
0000743,    14.403222,    41.913272
0000744,    13.430292,    40.636844
0000745,    13.362042,    41.372192
0000746,    14.326411,    41.922959
0000747,    13.546872,    40.882492
0000748,    13.757650,    41.878247
0000749,    14.482105,    41.375887
0000750,    13.261692,    42.059297
0000751,    14.993285,    40.838354
0000752,    13.478468,    42.005272
0000753,    14.655738,    40.763094
0000754,    13.482184,    40.901806
0000755,    14.293014,    41.834169
0000756,    14.861410,    40.636301
0000757,    13.364601,    41.585889
0000758,    13.831030,    41.111967
0000759,    15.181411,    40.561245
0000760,    13.706306,    41.476890
0000761,    14.328768,    41.744884
0000762,    14.021596,    40.778232
0000763,    13.302600,    41.856961
0000764,    13.559605,    40.459116
0000765,    15.202118,    40.484211
0000766,    14.882125,    41.362154
0000767,    13.429331,    40.277182
0000768,    14.522977,    41.751105
0000769,    14.805066,    40.450677
0000770,    14.641229,    40.369557
0000771,    13.796119,    41.197019
0000772,    13.764742,    40.985221
0000773,    14.249100,    41.076189
0000774,    15.169830,    41.400416
0000775,    13.944099,    40.909827
0000776,    13.675604,    41.325345
0000777,    14.270699,    40.879171
0000778,    15.119870,    40.566790
0000779,    14.527922,    40.507241
0000780,    13.267895,    41.322553
0000781,    13.413786,    40.552943
0000782,    14.337732,    40.686706
0000783,    14.884683,    42.145703
0000784,    13.364232,    41.640480
0000785,    15.119749,    41.340675
0000786,    13.946927,    41.859476
0000787,    15.139419,    41.806655
0000788,    14.903658,    41.297341
0000789,    13.846068,    40.322611
0000790,    13.733841,    40.631047
0000791,    14.906756,    41.059212
0000792,    13.252530,    41.425005
0000793,    14.019180,    41.694564
0000794,    13.369375,    41.470160
0000795,    13.677657,    40.983837
0000796,    14.100345,    40.288559
0000797,    15.009306,    40.926778
0000798,    15.213496,    40.533059
0000799,    14.547995,    41.897724
0000800,    14.001537,    41.992158
0000801,    13.726552,    41.758843
0000802,    14.481495,    41.332581
0000803,    15.185036,    40.395340
0000804,    13.319759,    41.324973
0000805,    14.632144,    40.454594
0000806,    14.150837,    41.126426
0000807,    13.387773,    41.509765
0000808,    13.249206,    41.890877
0000809,    13.961639,    41.434304
0000810,    14.317624,    40.799038
0000811,    15.077574,    42.125507
0000812,    13.365038,    40.420150
0000813,    15.103555,    41.856628
0000814,    14.389345,    41.141205
0000815,    13.683002,    41.896862
0000816,    14.261052,    41.167385
0000817,    13.625408,    40.666414
0000818,    14.115795,    42.126434
0000819,    15.028407,    41.292923
0000820,    14.795138,    41.266419
0000821,    14.360786,    40.698197
0000822,    14.618157,    41.511156
0000823,    14.893574,    41.361125
0000824,    14.964771,    41.098605
0000825,    13.712266,    41.022946
0000826,    13.617810,    41.070074
0000827,    14.288519,    41.828618
0000828,    13.882532,    41.695176
0000829,    15.114249,    41.033684
0000830,    13.697989,    42.048409
0000831,    14.043124,    40.832205
0000832,    13.361919,    41.604157
0000833,    14.669254,    41.779723
0000834,    14.513106,    40.960677
0000835,    14.189672,    41.047037
0000836,    13.519384,    42.119588
0000837,    15.152213,    40.400653
0000838,    14.776361,    42.206821
0000839,    13.605193,    41.164953
0000840,    14.828474,    41.136760
0000841,    13.853236,    40.490392
0000842,    14.607593,    40.771225
0000843,    13.756965,    41.601704
0000844,    13.842726,    41.593055
0000845,    14.693611,    41.296780
0000846,    13.294740,    41.673546
0000847,    14.618258,    40.400747
0000848,    13.819468,    41.841298
0000849,    15.085446,    40.269412
0000850,    14.970481,    41.804569
0000851,    13.815470,    41.347628
0000852,    14.460301,    40.342061
0000853,    15.164837,    42.217001
0000854,    13.294741,    41.746417
0000855,    14.562984,    41.828680
0000856,    13.219255,    41.866394
0000857,    13.907759,    41.020257
0000858,    13.405198,    40.813262
0000859,    15.196661,    41.363510
0000860,    13.635649,    40.873800
0000861,    14.587180,    42.005542
0000862,    14.793117,    40.366321
0000863,    13.390217,    41.373125
0000864,    14.903112,    40.805779
0000865,    13.524666,    41.047921
0000866,    14.101648,    40.451522
0000867,    15.061259,    42.177134
0000868,    14.061453,    41.103008
0000869,    14.644765,    41.588148
0000870,    13.768347,    40.741416
0000871,    14.832718,    41.058638
0000872,    13.434530,    41.123368
0000873,    14.529224,    40.954611
